
Ideas                                     Skills Required 




Digital marketing services                Technical skills, marketing


Graphic designing                         Designing; technical skills

   
E-commerce site                           Marketing skills; management skills; technical skills
  

Photography                               Creativity; technical skills 
 

Blogging                                  Writing; creativity; 
 

Freelance writing                         Writing; creativity  


Mobile accessories                        Business skill



Event Management                          The organization, Management, networking


Invest in startups                        Business knowledge 
 

 Real estate Investment                   Knowledge about properties; networking; 

 

 

 

 

  

 

 
